Nama PBT Dalam ITEGUR,Kod Itegur,Nama PBT Dalam SISPAA,Org Id SISPAA,Nodus SISPAA,Nama db SISPAA,URL Akaun SISPAA,Negeri
Majlis Bandaraya Iskandar Puteri,201302,Majlis Bandaraya Iskandar Puteri,49160,MYGOV.KN3.40.JNJ.PBTJHR.MBIP,sc_johor_mbip,mbip.spab.gov.my,Johor
Majlis Bandaraya Johor Bahru,201301,Majlis Bandaraya Johor Bahru,28568,MYGOV.KN3.40.JNJ.PBTJHR.MBJB,sc_johor_mbjb,mbjb.spab.gov.my,Johor
Majlis Daerah Kota Tinggi,201313,Majlis Daerah Kota Tinggi,28570,MYGOV.KN3.40.JNJ.PBTJHR.MDKT,sc_johor_mdkt,mdkt.spab.gov.my,Johor
Majlis Daerah Labis,201309,Majlis Daerah Labis,28571,MYGOV.KN3.40.JNJ.PBTJHR.MDL,sc_johor_mdl,mdl.spab.gov.my,Johor
Majlis Daerah Mersing,201314,Majlis Daerah Mersing,28572,MYGOV.KN3.40.JNJ.PBTJHR.MDM,sc_johor_mdmersing,mdmersing.spab.gov.my,Johor
Majlis Daerah Pontian,201312,Majlis Daerah Pontian,28573,MYGOV.KN3.40.JNJ.PBTJHR.MDP,sc_johor_mdpontian,mppn.spab.gov.my,Johor
Majlis Daerah Simpang Renggam,201311,Majlis Daerah Simpang Renggam,28575,MYGOV.KN3.40.JNJ.PBTJHR.MDSR,sc_johor_mdsr,mdsr.spab.gov.my,Johor
Majlis Daerah Tangkak,201305,Majlis Daerah Tangkak,28576,MYGOV.KN3.40.JNJ.PBTJHR.MDT,sc_johor_mdt,mdt.spab.gov.my,Johor
Majlis Daerah Yong Peng,201307,Majlis Daerah Yong Peng,28577,MYGOV.KN3.40.JNJ.PBTJHR.MDYP,sc_johor_mdyp,mdyp.spab.gov.my,Johor
Majlis Perbandaran Batu Pahat,201306,Majlis Perbandaran Batu Pahat,28578,MYGOV.KN3.40.JNJ.PBTJHR.MPBP,sc_johor_mpbp,mpbp.spab.gov.my,Johor
Majlis Perbandaran Kluang,201310,Majlis Perbandaran Kluang,28580,MYGOV.KN3.40.JNJ.PBTJHR.MPK,sc_johor_mpkluang,mpkluang.spab.gov.my,Johor
Majlis Perbandaran Kulai,201303,Majlis Perbandaran Kulai,28569,MYGOV.KN3.40.JNJ.PBTJHR.MDK,sc_johor_mpkulai,mpkulai.spab.gov.my,Johor
Majlis Perbandaran Muar,201304,Majlis Perbandaran Muar,28581,MYGOV.KN3.40.JNJ.PBTJHR.MPM,sc_johor_mpm,mpm.spab.gov.my,Johor
Majlis Perbandaran Pasir Gudang,201315,,,,,,Johor
Majlis Perbandaran Pengerang,201316,,,,,,Johor
Majlis Perbandaran Segamat,201308,Majlis Perbandaran Segamat,28574,MYGOV.KN3.40.JNJ.PBTJHR.MDS,sc_johor_mdsegamat,mdsegamat.spab.gov.my,Johor
Majlis Bandaraya Alor Setar,202301,,,,,,Kedah
Majlis Daerah Baling,202304,,,,,,Kedah
Majlis Daerah Bandar Baharu,202311,,,,,,Kedah
Majlis Daerah Padang Terap,202309,,,,,,Kedah
Majlis Daerah Pendang,202308,,,,,,Kedah
Majlis Daerah Sik,202307,,,,,,Kedah
Majlis Daerah Yan,202306,,,,,,Kedah
Majlis Perbandaran Kubang Pasu,202305,,,,,,Kedah
Majlis Perbandaran Kulim,202303,,,,,,Kedah
Majlis Perbandaran Langkawi,202310,,,,,,Kedah
Majlis Perbandaran Sungai Petani,202302,,,,,,Kedah
PBT Taman Perindustrian Hi-Tech Kulim,202312,,,,,,Kedah
Majlis Daerah Bachok,203302,Majlis Daerah Bachok,28686,MYGOV.KN3.42.PBTK.MDB,,,Kelantan
Majlis Daerah Dabong,203306,Majlis Daerah Dabong,42442,MYGOV.KN3.42.PBTK.MDD,,,Kelantan
Majlis Daerah Gua Musang,203303,Majlis Daerah Gua Musang,41320,MYGOV.KN3.42.PBTK.MDGM,,,Kelantan
Majlis Daerah Jeli,203304,Majlis Daerah Jeli,28687,MYGOV.KN3.42.PBTK.MDJ,,,Kelantan
Majlis Daerah Ketereh,203305,Majlis Daerah Ketereh,42443,MYGOV.KN3.42.PBTK.MDK,,,Kelantan
Majlis Daerah Kuala Krai,203307,Majlis Daerah Kuala Krai,46041,MYGOV.KN3.42.PBTK.MDKKRAI,,,Kelantan
Majlis Daerah Machang,203308,Majlis Daerah Machang,41268,MYGOV.KN3.42.PBTK.MDM,,,Kelantan
Majlis Daerah Pasir Mas,203309,Majlis Daerah Pasir Mas,41269,MYGOV.KN3.42.PBTK.MDPM,,,Kelantan
Majlis Daerah Pasir Puteh,203310,Majlis Daerah Pasir Puteh,42366,MYGOV.KN3.42.PBTK.MDPP,,,Kelantan
Majlis Daerah Tanah Merah,203311,Majlis Daerah Tanah Merah,41411,MYGOV.KN3.42.PBTK.MDTM,,,Kelantan
Majlis Daerah Tumpat,203312,Majlis Daerah Tumpat,42367,MYGOV.KN3.42.PBTK.MDT,,,Kelantan
Majlis Perbandaran Kota Bharu-Bandar Raya Islam,203301,,,,,,Kelantan
Majlis Bandaraya Melaka Bersejarah,204301,Majlis Bandaraya Melaka Bersejarah,28707,MYGOV.KN3.43.PBT.MPMBB,,,Melaka
Majlis Perbandaran Alor Gajah,204302,Majlis Perbandaran Alor Gajah,42357,MYGOV.KN3.43.PBT.MPAG,,,Melaka
Majlis Perbandaran Hang Tuah Jaya,204304,Majlis Perbandaran Hang Tuah Jaya,42695,MYGOV.KN3.43.PBT.MPHTJ,,,Melaka
Majlis Perbandaran Jasin,204303,Majlis Perbandaran Jasin,44576,MYGOV.KN3.43.PBT.MPJ,,,Melaka
Majlis Bandaraya Seremban,205301,Majlis Bandaraya Seremban,42358,MYGOV.KN3.44.PBT.MPS,sc_nsembilan_mbseremban,mbseremban.spab.gov.my,N9
Majlis Bandaraya Seremban (Asal Majlis Perbandaran Nilai),205302,,,,,,N9
Majlis Daerah Jelebu,205306,Majlis Daerah Jelebu,42361,MYGOV.KN3.44.PBT.MDJ,sc_nsembilan_mdjelebu,mdjelebu.spab.gov.my,N9
Majlis Daerah Kuala Pilah,205303,Majlis Daerah Kuala Pilah,42363,MYGOV.KN3.44.PBT.MDKP,sc_nsembilan_mdkp,mdkp.spab.gov.my,N9
Majlis Daerah Rembau,205307,Majlis Daerah Rembau,42364,MYGOV.KN3.44.PBT.MDR,sc_nsembilan_mdrembau,mdrembau.spab.gov.my,N9
Majlis Daerah Tampin,205304,Majlis Daerah Tampin,42365,MYGOV.KN3.44.PBT.MDT,sc_nsembilan_mdtampin,mdtampin.spab.gov.my,N9
Majlis Perbandaran Jempol,205308,Majlis Perbandaran Jempol,42362,MYGOV.KN3.44.PBT.MDJL,sc_nsembilan_mpjempol,mpjempol.spab.gov.my,N9
Majlis Perbandaran Port Dickson,205305,Majlis Perbandaran Port Dickson,42359,MYGOV.KN3.44.PBT.MPPD,sc_nsembilan_mppd,mppd.spab.gov.my,N9
Lembaga Pembangunan Tioman,206312,Lembaga Pembangunan Tioman,46129,MYGOV.KN3.45.02.LPTIOMAN,,,Pahang
Majlis Bandaraya Kuantan,206301,Majlis Bandaraya Kuantan,42368,MYGOV.KN3.45.PBT.MPK,sc_pahang_mpkuantan,mpk.spab.gov.my,Pahang
Majlis Daerah Bera,206308,Majlis Daerah Bera,42143,MYGOV.KN3.45.PBT.MDB,sc_pahang_mdbera,mdbera.spab.gov.my,Pahang
Majlis Daerah Cameron Highlands,206306,Majlis Daerah Cameron Highlands,42144,MYGOV.KN3.45.PBT.MDCH,sc_pahang_mdcameron,mdcameron.spab.gov.my,Pahang
Majlis Daerah Jerantut,206311,Majlis Daerah Jerantut,41363,MYGOV.KN3.45.PBT.MDJ,sc_pahang_mdjerantut,mdjerantut.spab.gov.my,Pahang
Majlis Daerah Lipis,206305,Majlis Daerah Lipis,41323,MYGOV.KN3.45.PBT.MDL,sc_pahang_mdlipis,mdlipis.spab.gov.my,Pahang
Majlis Daerah Maran,206309,Majlis Daerah Maran,41364,MYGOV.KN3.45.PBT.MDM,sc_pahang_mdmaran,mdmaran.spab.gov.my,Pahang
Majlis Daerah Pekan,206304,Majlis Daerah Pekan,42145,MYGOV.KN3.45.PBT.MDP,sc_pahang_mdpekan,mdpekan.spab.gov.my,Pahang
Majlis Daerah Raub,206307,Majlis Daerah Raub,42146,MYGOV.KN3.45.PBT.MDR,sc_pahang_mdraub,mdraub.spab.gov.my,Pahang
Majlis Daerah Rompin,206310,Majlis Daerah Rompin,42369,MYGOV.KN3.45.PBT.MDRN,sc_pahang_mdrompin,mdrompin.spab.gov.my,Pahang
Majlis Perbandaran Bentong,206303,Majlis Perbandaran Bentong,42142,MYGOV.KN3.45.PBT.MPB,sc_pahang_mpbentong,mpbentong.spab.gov.my,Pahang
Majlis Perbandaran Temerloh,206302,Majlis Perbandaran Temerloh,41322,MYGOV.KN3.45.PBT.MPT,sc_pahang_mptemerloh,mpt.spab.gov.my,Pahang
Majlis Bandaraya Pulau Pinang,207301,Majlis Bandaraya Pulau Pinang,42371,MYGOV.KN3.46.MPPP,,,Penang
Majlis Perbandaran Seberang Perai,207302,,,,,,Penang
Majlis Bandaraya Ipoh,208301,Majlis Bandaraya Ipoh,42342,MYGOV.KN3.47.PBT01.MBI,,,Perak
Majlis Daerah Batu Gajah,208307,Majlis Daerah Batu Gajah,46023,MYGOV.KN3.47.PBT01.MDBG,,,Perak
Majlis Daerah Gerik,208309,Majlis Daerah Gerik,42346,MYGOV.KN3.47.PBT01.MDG,,,Perak
Majlis Daerah Kampar,208308,Majlis Daerah Kampar,42439,MYGOV.KN3.47.PBT01.MDKP,,,Perak
Majlis Daerah Kerian,208315,Majlis Daerah Kerian,42347,MYGOV.KN3.47.PBT01.MDK,,,Perak
Majlis Daerah Lenggong,208310,Majlis Daerah Lenggong,42350,MYGOV.KN3.47.PBT01.MDL,,,Perak
Majlis Daerah Pengkalan Hulu,208311,Majlis Daerah Pengkalan Hulu,42351,MYGOV.KN3.47.PBT01.MDPH,,,Perak
Majlis Daerah Perak Tengah,208304,Majlis Daerah Perak Tengah,42352,MYGOV.KN3.47.PBT01.MDPT,,,Perak
Majlis Daerah Selama,208306,Majlis Daerah Selama,41261,MYGOV.KN3.47.PBT01.MDS,,,Perak
Majlis Daerah Tanjong Malim,208313,Majlis Daerah Tanjong Malim,41262,MYGOV.KN3.47.PBT01.MDTM,,,Perak
Majlis Daerah Tapah,208312,Majlis Daerah Tapah,41263,MYGOV.KN3.47.PBT01.MDT,,,Perak
Majlis Perbandaran Kuala Kangsar,208305,Majlis Perbandaran Kuala Kangsar,42344,MYGOV.KN3.47.PBT01.MPKK,,,Perak
